name,address,city,state,stars,review_count,Name
Nourish Your Soul,282 Cambridge St,Boston,MA,3.5,25,Beacon Hill
Viga Italian Eatery & Caterer,291 Devonshire St,Boston,MA,4,97,Downtown
GEM,42 Province St,Boston,MA,3,98,Downtown
The Tap,17 Union St,Boston,MA,3,100,Downtown
The Paramount,667 E Broadway,Boston,MA,3.5,254,South Boston
District Pizzeria,270 Babcock St,Boston,MA,2,5,Allston
Rod Thai Family Taste,94 Peterborough St,Boston,MA,4,411,Fenway
West End Strollers,1 Faneuil Hall Market,Boston,MA,1.5,41,Downtown
Sorelle Bakery & Cafe,100 Northern Ave,Boston,MA,3,21,South Boston Waterfront
Noon Mediterranean,95 Summer St,Boston,MA,3.5,55,Downtown
JA Stats Restaurant & Bar,99 Broad St,Boston,MA,3.5,32,Downtown
BURGERFI,961 Commonwealth Ave,Boston,MA,3,111,Allston
209 Boston,209 Columbus Ave,Boston,MA,3,5,Back Bay
Tora Japanese Restaurant,20B Tyler St,Boston,MA,4.5,424,Chinatown
Pret A Manger,185 Franklin St,Boston,MA,4,111,Downtown
"Pastoral - Artisan Pizza, Kitchen & Bar","345 Congress St, Fort Point",Boston,MA,3.5,454,South Boston Waterfront
B.GOOD,84 Summer St,Boston,MA,3,144,Downtown
Ajeen,1219 Commonwealth Ave,Boston,MA,5,36,Allston
Five-10 Waterfront,510 Atlantic Ave,Boston,MA,3.5,8,Downtown
Vinh-Sun,58 Beach St,Boston,MA,3,145,Roxbury
Caffe Paradiso,255 Hanover St,Boston,MA,4,238,North End
El Rancho Restaurante,309 Bennington St,Boston,MA,3.5,12,East Boston
Cha Cha Cha Taqueria,145 Dartmouth St,Boston,MA,4,79,Back Bay
Earl of Sandwich,"1B Charles St, Boston Common, Boston Common",Boston,MA,3.5,77,Beacon Hill
Kennedy's Midtown,42 Province St,Boston,MA,3,58,Downtown
Xi’An Rougamo,"417 Washington St, The Corner Food Court",Boston,MA,3.5,28,Downtown
Mare,223 Hanover St,Boston,MA,3.5,291,North End
JP Roti Shop,482 Washington St,Boston,MA,4,30,Dorchester
Espresso Royale Caffe,736 Commonwealth Ave,Boston,MA,3.5,160,NA
Berkshires,1 Hotel Dr,Boston,MA,2,9,East Boston
Au Bon Pain,1 International Pl,Boston,MA,3,29,Downtown
District,180 Lincoln St,Boston,MA,3,80,Leather District
Sweet Rice JP,697 Centre St,Boston,MA,4,82,Jamaica Plain
Fresh City,"Landmark Ctr, 201 Brookline Ave",Boston,MA,2.5,29,Fenway
French Quarter,545 Washington St,Boston,MA,4.5,42,Downtown
Bao Bao Bakery & Cafe,84 Harrison Ave,Boston,MA,4,91,Chinatown
RYO Asian Fusion,"300 Terminal C, Fl 2 Food Court, Terminal C",Boston,MA,2,35,East Boston
Scullers Jazz Club,400 Soldiers Rd,Boston,MA,3.5,85,Allston
75 On Courthouse Square,"60 Seaport Blvd, Second Level",Boston,MA,3,14,South Boston Waterfront
Subway,230 Tremont St,Boston,MA,2.5,30,Downtown
Stella Cafe,1515 Washington St,Boston,MA,3,32,South End
South End Open Market,375 Harrison Ave,Boston,MA,4,226,South End
O'Naturals,75 Francis St,Boston,MA,3,26,Longwood
Third Cliff Bakery,"3531 Washington St, Ste 103",Boston,MA,5,13,Jamaica Plain
Pho Basil,"177 Massachusetts Ave, Ste A",Boston,MA,4,1230,Fenway
Citizen Public House & Oyster Bar,1310 Boylston St,Boston,MA,3.5,644,Fenway
Minina's Cafe,432 Geneva Ave,Boston,MA,4,8,Dorchester
Bistro du Midi,272 Boylston St,Boston,MA,4,617,Downtown
Dig,25 Thomson Pl,Boston,MA,4.5,15,South Boston Waterfront
Saloniki Greek,4 Kilmarnock St,Boston,MA,4,452,Fenway
Right Taste Jamaican Restaurant,522 River St,Boston,MA,4,18,Mattapan
Crepe & Ice Cream 89C,77 Harvard Ave,Boston,MA,4,44,Allston
Teavana,800 Boylston St,Boston,MA,2.5,111,Back Bay
Georgianna's Market,Tremont St,Boston,MA,3,10,Downtown
El Molino,71 Broad St,Boston,MA,4,19,Downtown
The White Bull Tavern,1 Union St,Boston,MA,3.5,132,Downtown
Hot Tomatoes,92 Bedford St,Boston,MA,3,47,Downtown
Chilacates Mexican Street Food,1482A Tremont St,Boston,MA,4.5,36,Mission Hill
Omni Parker House,60 School St,Boston,MA,3.5,749,Downtown
Shanghai Restaurant & Bar,232 Tremont St,Boston,MA,3,34,Downtown
Jimmy John's,60 Valenti Way,Boston,MA,2.5,25,West End
Nahita Cocktails and Cuisine,100 Arlington St,Boston,MA,3.5,131,Bay Village
Benevento's,111 Salem St,Boston,MA,4,490,North End
Beantown Burrito,340-350 Longwood Ave,Boston,MA,2,52,Longwood
Nicole's Pizza,639 Tremont St,Boston,MA,3.5,111,South End
"Cambridge, 1.",1381 Boylston St,Boston,MA,3.5,85,Fenway
Curry House,102 Water St,Boston,MA,3,19,Downtown
Cask'n Flagon,62 Brookline Ave,Boston,MA,3.5,606,Fenway
The Cheesecake Factory,"115 Huntington Ave, Ste 181",Boston,MA,3,708,Back Bay
Angela's Cafe - Eagle Hill,131 Lexington St,Boston,MA,4,444,East Boston
Foodie's Urban Market,1421 Washington St,Boston,MA,3.5,141,South End
Misono Wok,1095 Commonwealth Ave,Boston,MA,3.5,43,Allston
Burtons Grill,1363 Boylston St,Boston,MA,3.5,135,Fenway
Stadium Sports Bar & Grill,148 State St,Boston,MA,2.5,31,Downtown
D'Angelo's Sandwich Shops,700 Atlantic Ave,Boston,MA,2.5,32,Downtown
CAVA,1346 Boylston St,Boston,MA,4.5,130,Fenway
Cosi,125 High St,Boston,MA,2.5,23,Downtown
Sorriso Trattoria,107 South St,Boston,MA,3.5,98,Leather District
Aqua Pazza,135 Richmond St,Boston,MA,4.5,176,North End
Wisteria Restaurant,821 Washington St,Boston,MA,2.5,26,Downtown
RumBa,510 Atlantic Ave,Boston,MA,3.5,102,Downtown
MIDA,782 Tremont St,Boston,MA,4,309,Roxbury
LongHorn Steakhouse,401 Park Drive,Boston,MA,3.5,154,Fenway
Chipotle Mexican Grill,8 Park Plz,Boston,MA,3.5,20,Downtown
Potato Freaks,402 W Broadway,Boston,MA,3.5,6,South Boston
Crepe and More,1 S Station,Boston,MA,3.5,16,Downtown
Temptations Cafe,313 Huntington Ave,Boston,MA,4,119,Fenway
Starbucks,185 Dartmouth St,Boston,MA,3,57,Back Bay
Boar's Nest Deli,75 Kneeland St,Boston,MA,3,15,Chinatown
China Station,532 Washington St,Boston,MA,4,62,Dorchester
Cini’s,252 Friend St,Boston,MA,4.5,15,West End
Chinatown Eatery,44 Beach Street,Boston,MA,4.5,16,Chinatown
Philadelphia Steak & Hoagie,3 Faneuil Hall Market Pl,Boston,MA,2.5,30,Downtown
Dot Cafe,1459 Dorchester Ave,Boston,MA,4.5,31,Dorchester
Emerald Lounge,200 Stuart St,Boston,MA,3,180,Bay Village
Davide Restaurant,326 Commercial St,Boston,MA,3,107,North End
Courtyard Tea Room,700 Boylston St,Boston,MA,4,157,Back Bay
Totto Ramen,20A District Ave,Boston,MA,4,36,Dorchester
Hungry Traveler,29 Court Sq,Boston,MA,3.5,39,Downtown
UFood Grill,201 Brookline Ave,Boston,MA,3.5,47,Fenway
Pret A Manger,417 Brookline Ave,Boston,MA,3.5,25,Longwood
Pressed Sandwiches,1 Beacon St,Boston,MA,3.5,6,North End
Blake's,276 Friend St,Boston,MA,3.5,20,West End
Ledge Kitchen and Drinks,2261 Dorchester Ave,Boston,MA,3,161,Mattapan
Comedy Connection,"245 Quincy Market Bldg, 2nd Fl",Boston,MA,3.5,21,Downtown
Café Jaffa,48 Gloucester St,Boston,MA,3.5,365,Back Bay
Boston Common Coffee Co.,515 Washington St,Boston,MA,3.5,341,Downtown
T Anthony's Restaurant,1016 Commonwealth Ave,Boston,MA,3.5,281,NA
Finagle-A-Bagel,"70 Franklin St, Ste 3",Boston,MA,3.5,17,Downtown
Tossed,"The Shops at Prudential Center, 800 Boylston St",Boston,MA,2.5,94,Fenway
Bon Me,Purchase St High St,Boston,MA,4,62,Downtown
Stephanie's On Newbury,190 Newbury St,Boston,MA,3,1553,Back Bay
Les Zygomates,129 South St,Boston,MA,3.5,443,Leather District
Bogie's Place,25 Temple Pl,Boston,MA,4,97,Downtown
Thornton's Fenway Grille,100 Peterborough St,Boston,MA,3.5,294,Fenway
DW Brewpub,820 Morrissey Blvd,Boston,MA,2.5,29,Dorchester
Pomodoro,351 Hanover St,Boston,MA,4.5,532,North End
Rebecca's Cafe,75 Federal Street,Boston,MA,3.5,5,Downtown
Cafe Vanille,70 Charles St,Boston,MA,3.5,129,Beacon Hill
Bar Moxy,240 Tremont St,Boston,MA,3.5,8,Downtown
Tonic,3698 Washington St,Boston,MA,3.5,33,Jamaica Plain
Vivian's Cafe,50 Terminal St,Boston,MA,5,6,Charlestown
Billy Tse Restaurant,240 Commercial St,Boston,MA,3.5,176,North End
Wendy's,71 Summer St,Boston,MA,3,47,Downtown
Betty's Wok & Noodle Diner,250 Huntington Ave,Boston,MA,3,162,Fenway
Wings Over Boston,325 Huntington Ave,Boston,MA,2.5,181,Fenway
Boston Shawarma Restaurant,226 Washington St,Boston,MA,3.5,65,Downtown
Cosi,2 Seaport Ln,Boston,MA,2,26,South Boston Waterfront
Tavern Road,343 Congress St,Boston,MA,3.5,256,South Boston Waterfront
Seapoint Restaurant,367 E 8th St,Boston,MA,4,41,South Boston
Energize,265 Massachusetts Ave,Boston,MA,4.5,59,Fenway
Iron Wok,8 Park Plz,Boston,MA,3,16,Downtown
Chic Chick,164 Brighton Ave,Boston,MA,4.5,66,Allston
Eddie V's Prime Seafood,122 Belvidere St,Boston,MA,4,107,Back Bay
Sakura-Bana,57 Broad St,Boston,MA,3.5,254,Downtown
Avana Sushi,42 Beach St,Boston,MA,4,979,Chinatown
Panificio,61 Massachusetts Ave,Boston,MA,3,16,Back Bay
Forty Dalton,40 Dalton St,Boston,MA,2.5,24,Back Bay
Caprice,275 Tremont St,Boston,MA,2.5,35,Downtown
Boston Brewin Coffee,45 Bromfield St,Boston,MA,4.5,159,Downtown
Sal's Pizza,150 Tremont St,Boston,MA,3.5,113,Downtown
Dine Boston,1 Harborside Dr,Boston,MA,3.5,63,East Boston
The Bowery Bar,2261 Dorchester Ave,Boston,MA,3.5,101,Mattapan
Purple Shamrock,1 Union St,Boston,MA,2.5,149,Downtown
Eataly Boston,800 Boylston St,Boston,MA,3.5,980,Back Bay
Falafel King,62 Summer St,Boston,MA,3.5,75,Downtown
Grilled Cheese Nation,NA,Boston,MA,3,47,Downtown
Lolita Cocina & Tequila Bar Back Bay,271 Dartmouth St,Boston,MA,4,2179,Back Bay
Venezia Restaurant Boston,20 Ericsson St,Boston,MA,3.5,207,Dorchester
Domino's Pizza,163 Old Colony Ave,Boston,MA,1.5,65,South Boston
No Relation,11 William E Mullins Way,Boston,MA,4,34,South End
Island Creek Oyster Bar,500 Commonwealth Ave,Boston,MA,4.5,2734,Fenway
Double Chin,86 Harrison Ave,Boston,MA,3.5,503,Chinatown
Victoria's Diner,1024 Massachusetts Ave,Boston,MA,3.5,450,South Boston
East Ocean City,27 Beach St,Boston,MA,3,175,Chinatown
Dosa Factory - Boston,316 Newbury St,Boston,MA,2.5,182,Back Bay
Fuji at Ink Block,"352 Harrison Ave, Ste B",Boston,MA,4.5,468,South End
Upper Crust Pizzeria,683 Tremont St,Boston,MA,3,188,South End
DoubleTree Suites by Hilton Hotel Boston - Cambridge,400 Soldiers Field Rd,Boston,MA,3.5,146,Allston
Mission Sushi & Wok,1625 Tremont St,Boston,MA,3,154,Mission Hill
Boston Pizza and Grill,270 Babcock St,Boston,MA,2,15,Allston
Dates & Olives,160 Chestnut Hill Ave,Boston,MA,4,182,Brighton
Unchained Pizza,960 William T Morrissey Blvd,Boston,MA,3,29,Dorchester
Three Cheers Restaurant Bar & Function Facility,290 Congress St,Boston,MA,3,5,Downtown
Tasty Burger,145 Dartmouth St,Boston,MA,3,208,Back Bay
College Pizza,50 Queensberry St,Boston,MA,3,173,Fenway
Market Kitchen,"1 Harborside Dr, Terminal A Gate A9",Boston,MA,1.5,26,East Boston
Deuxave,371 Commonwealth Ave,Boston,MA,4,546,Back Bay
Mul's Diner,75 W Broadway,Boston,MA,4,312,South Boston
Munch Mobile Kitchen,432 Stuart St,Boston,MA,4,32,Back Bay
Aceituna Grill,57 Boston Wharf Rd,Boston,MA,4,128,South Boston Waterfront
Morton's The Steakhouse,699 Boylston at Exeter,Boston,MA,3.5,116,Back Bay
Rock Bottom Restaurant & Brewery,115 Stuart St,Boston,MA,3,651,Downtown
Finn McCool's Boston,200 High St,Boston,MA,4,32,Downtown
Sam LaGrassa's,44 Province St,Boston,MA,4.5,1023,Downtown
Au Bon Pain,101 Merrimac St,Boston,MA,2.5,16,West End
Broadway's Best Pizza,483 E Broadway,Boston,MA,4,20,South Boston
Peruvian Taste,78 Arlington Ave,Boston,MA,5,5,Charlestown
Alexandria Pizza & Grill,1252 Washington St,Boston,MA,2.5,74,South End
Best Sausage,80 Brookline Ave,Boston,MA,2.5,11,Fenway
Stephi's in Southie,130 Dorchester Ave,Boston,MA,3,199,South Boston
Berkshire Farms Market,1 Harborside Dr,Boston,MA,2.5,116,East Boston
Wink & Nod,3 Appleton St,Boston,MA,4,450,South End
Cafe G,25 Evans Way,Boston,MA,4,100,Longwood
Burrito Max,642 Beacon Street,Boston,MA,3,8,Fenway
Three Clover Pizza Restaurant,401 W Broadway,Boston,MA,3,12,South Boston
Smith & Wollensky,101 Arlington St,Boston,MA,3.5,436,Bay Village
Mei Mei Restaurant,506 Park Dr,Boston,MA,4,423,Fenway
Saltie Girl,281 Dartmouth St,Boston,MA,4.5,1118,Back Bay
Evergreen Eatery,154 Green St,Boston,MA,4.5,99,Jamaica Plain
Brasserie Jo,120 Huntington Ave,Boston,MA,3,451,Back Bay
Strip By Strega,64 Arlington St,Boston,MA,3.5,320,Downtown
Minibar,51 Huntington Ave,Boston,MA,3,146,Back Bay
Cosi,53 State St,Boston,MA,3.5,33,Downtown
Panza,326 Hanover St,Boston,MA,4,1307,North End
Pierrot Bistrot Francais,272 Cambridge St,Boston,MA,3.5,92,Beacon Hill
Marco,253 Hanover St,Boston,MA,4,153,North End
Riccardo's Ristorante,175 N St,Boston,MA,3,262,North End
Pazzo Ristorante & Bar,269 Newbury St,Boston,MA,3,65,Back Bay
Caprice International Burger Bar,275 Tremont St,Boston,MA,2,5,Downtown
The Four's Restaurant & Sports Bar,166 Canal St,Boston,MA,3.5,350,West End
New Saigon,985 Bennington St,Boston,MA,4.5,166,East Boston
Park Square Cafe,"31 Saint James Ave, Ste 550",Boston,MA,3.5,44,Back Bay
Kaju Tofu House,636 Beacon St,Boston,MA,4,135,Fenway
The Hill Tavern,228 Cambridge St,Boston,MA,3.5,246,Beacon Hill
Bonchon Allston,123 Brighton Ave,Boston,MA,3.5,1099,Allston
Blackmoor Bar and Kitchen,1 Chelsea St,Boston,MA,4,226,Charlestown
SOJUba,1265 Boylston St,Boston,MA,4,308,Fenway
Quotes Cafe,200 Massachusetts Ave,Boston,MA,4,9,Fenway
Subway,138 Cambridge St,Boston,MA,1.5,17,Beacon Hill
Bruegger's Bagels,7 School St,Boston,MA,3,147,Downtown
Papi's Stuffed Sopapillas,NA,Boston,MA,4,52,Downtown
Yellowbird Chicken,239 Grove St,Boston,MA,4,54,West Roxbury
Artu,6 Prince St,Boston,MA,3.5,383,North End
Ward 8,90 N Washington St,Boston,MA,4,486,West End
The Maiden,28 W Broadway,Boston,MA,4.5,85,South Boston
Tawakal Halal Cuisine,"1004 Bennington St, 2nd Fl",Boston,MA,4,22,East Boston
Uptown Espresso Caffe,563 Columbus Ave,Boston,MA,4,73,South End
Franklin Southie,152 Dorchester Ave,Boston,MA,3.5,256,South Boston
May's Cake House,223 Harrison Ave,Boston,MA,4.5,89,Chinatown
Dunkin',715 Boylston St,Boston,MA,3.5,46,Back Bay
Boston Crust,38 Brooks St,Boston,MA,3.5,20,Brighton
B.GOOD,50 Northern Ave,Boston,MA,3,62,South Boston Waterfront
Jalapenos,1277 Commonwealth Ave,Boston,MA,3,44,Allston
Currito,1 Harborside Dr,Boston,MA,2.5,45,East Boston
Poe's Kitchen At the Rattlesnake,384 Boylston St,Boston,MA,3,382,Back Bay
Casa Razdora,115 Water St,Boston,MA,4.5,325,Downtown
Dirty Water Dough,20 Maverick St,Boston,MA,4,39,East Boston
Dunkin',1 Congress St,Boston,MA,3,16,Downtown
Happy's Bar & Kitchen,1363 Boylston St,Boston,MA,3,90,Fenway
Phillips Old Colony House,780 Morrissey Blvd,Boston,MA,2.5,16,Dorchester
City Tap House,10 Boston Wharf Rd,Boston,MA,4,485,South Boston Waterfront
Five Star Pizza Grill,616 Gallivan Blvd,Boston,MA,3,66,Dorchester
Cafe Latino,"3 Ctr Plz, 2nd Fl",Boston,MA,3.5,23,Downtown
Contrada's Coffee,402 Hanover St,Boston,MA,3.5,8,North End
Dick's Last Resort,254 Faneuil Hall Market Pl,Boston,MA,2.5,471,Downtown
Bangkok City,167 Massachusetts Ave,Boston,MA,4,127,Fenway
Au Bon Pain,53 State St,Boston,MA,3,30,Downtown
Vinny T's of Boston,867 Boylston St,Boston,MA,3.5,90,Back Bay
India Quality Restaurant,484 Commonwealth Ave,Boston,MA,4,756,Fenway
Aris BBQ,1 Faneuil Hall Market Pl,Boston,MA,2,31,Downtown
Kantin,1095 Commonwealth Ave,Boston,MA,3.5,149,Allston
Tapestry,69 Kilmarnock St,Boston,MA,4,204,Fenway
Committee,50 Northern Ave,Boston,MA,4,590,South Boston Waterfront
Thornton's,150 Huntington Ave,Boston,MA,3.5,530,Back Bay
Bar Lyon,"1750 Washington St, Fl 1",Boston,MA,4.5,88,South End
Caribbean Flavors,1210 Blue Hill Ave,Boston,MA,3,6,Mattapan
PadThai Cafe,6 Hemenway St,Boston,MA,4,58,Fenway
The Squealing Pig,134 Smith St,Boston,MA,3.5,410,Mission Hill
Lala  Restaurant,792 Washington St,Boston,MA,2,16,Dorchester
Sushiemon,201 Massachusetts Ave,Boston,MA,4,74,Fenway
University Grill & Pizza,"712 Commonwealth Ave, Ste 2",Boston,MA,4,77,Fenway
Beantown Pastrami,100 Hanover St,Boston,MA,3.5,71,Downtown
Indulge India Food truck,NA,Boston,MA,4,32,Downtown
The Chicken Bone,1260 Boylston St,Boston,MA,3,22,Fenway
The Five Seventy Market,570 Tremont St,Boston,MA,4,81,South End
Uburger,636 Beacon St,Boston,MA,4,444,Fenway
Subway,74 Summer St,Boston,MA,3,10,Downtown
Squeeze Juice,53 State St,Boston,MA,3.5,12,Downtown
Scissors and Pie,225 Newbury St,Boston,MA,4,89,Back Bay
ReelHouse Boston,6 New St,Boston,MA,3.5,374,East Boston
Tikkaway Fresh Indian Grill,55 Boston Wharf Rd,Boston,MA,4,128,South Boston Waterfront
Riverview Cafe,1 Science Park,Boston,MA,3,7,West End
Ali Baba,99 Cambridge St,Boston,MA,5,6,Charlestown
Sandella's Flatbread Cafe,8 Park Plz,Boston,MA,3,20,Downtown
Boston Chops South End,1375 Washington St,Boston,MA,4,607,South End
Vineyard Grille,1 Harborside Dr,Boston,MA,2.5,98,East Boston
Basile - Fine Italian Kitchen,162 Columbus Ave,Boston,MA,4,455,Bay Village
Good Life,28 Kingston St,Boston,MA,3.5,358,Downtown
Bon Me - Back Bay,441 Stuart St,Boston,MA,3,18,Back Bay
UBurger,1022 Commonwealth Ave,Boston,MA,4,153,NA
Masa,439 Tremont St,Boston,MA,3.5,1134,South End
Snap Top Market,303 Columbus Ave,Boston,MA,4,26,South End
Scholars American Bistro and Cocktail Lounge,25 School St,Boston,MA,3,376,Downtown
Cappy's II,309 Huntington Ave,Boston,MA,3,39,Fenway
Sub City,"42 Beach St, Ste 106",Boston,MA,4,9,Chinatown
Pasta E Pomodoro,120 Salem St,Boston,MA,3,56,North End
Legal Harborside,"270 Northern Ave, Fl 1",Boston,MA,3.5,1406,South Boston Waterfront
Burritos and Tacos To Go,145 Dartmouth St,Boston,MA,4,29,Back Bay
Whiskey Park,64 Arlington St,Boston,MA,3,89,Downtown
Seoul - Boston,156 Cambridge St,Boston,MA,3.5,284,Beacon Hill
Royal Rooters Club,4 Yawkey Way,Boston,MA,3.5,22,Fenway
Vaanga,102 Water St,Boston,MA,3,54,Downtown
Charley's Eating & Drinking Saloon,284 Newbury St,Boston,MA,3.5,263,Back Bay
Luna's Restaurant Italian and Latin Cuisine,945 Saratoga St,Boston,MA,4.5,69,East Boston
The Monkey Bar,1 Faneuil Hall Market Pl,Boston,MA,3,52,Downtown
Rhett's,775 Commonwealth Ave,Boston,MA,2.5,16,Fenway
La Galleria 33,125 Salem St,Boston,MA,3.5,326,North End
Causeway Restaurant & Bar,65 Causeway St,Boston,MA,3,175,West End
Rachel's Kitchen,"12 Church Street, Bay Village",Boston,MA,4,11,West Roxbury
Seoul Soulongtang,1245 Commonwealth Ave,Boston,MA,4,496,Allston
B.GOOD,360 Longwood Ave,Boston,MA,3.5,128,Longwood
Church,69 Kilmarnock St,Boston,MA,3.5,320,Fenway
Samurai Kuang Eatery,58 Franklin St,Boston,MA,3,95,Downtown
Pomodoro,319 Hanover St,Boston,MA,4,618,North End
Gourmeli's,"Boston Marriott Copley Place, 110 Huntington Ave",Boston,MA,4,5,Back Bay
Pho Common,468 Commonwealth Ave,Boston,MA,4,118,Fenway
Little Dipper,669 Centre St,Boston,MA,4.5,79,Jamaica Plain
Rowes Wharf Bar - Boston Harbor Hotel,70 Rowes Wharf,Boston,MA,4,35,Downtown
Piccolo Panini,NA,Boston,MA,3,10,Downtown
New Saigon Sandwich,696 Washington St,Boston,MA,4,437,Chinatown
Prairie Star,111 Dartmouth St,Boston,MA,3.5,7,South End
Which Wich,324 Newbury St,Boston,MA,2.5,24,Back Bay
Jer-ne Restaurant and Bar,"The Ritz-Carton, 10 Avery St",Boston,MA,3.5,37,Downtown
Restaurant L,234 Berkley Street,Boston,MA,3.5,7,South End
La Rana Rossa,154 Green St,Boston,MA,3,52,Jamaica Plain
Sam's,60 Northern Ave,Boston,MA,4,359,South Boston Waterfront
Italian Express Pizzeria,336 Sumner St,Boston,MA,4.5,461,East Boston
Typhoon Asian Bistro,725 Boylston St,Boston,MA,3,276,Back Bay
Greek Village Gyros & Grill,583 Washington St,Boston,MA,4.5,44,Brighton
Red Line Pizza & Grill,580 Dorchester Ave,Boston,MA,2.5,36,South Boston
McGoo's Pizza,479 W Broadway,Boston,MA,3,59,South Boston
Le Patissier at Troquet,140 Boylston St,Boston,MA,4,13,Downtown
Solid Ground Cafe,742 Huntington Ave,Boston,MA,5,56,Mission Hill
21st Amendment,150 Bowdoin Sq,Boston,MA,4,401,Downtown
Juice Press,500 Boylston St,Boston,MA,3,42,Back Bay
Union Park Pizza,1405 Washington St,Boston,MA,4.5,91,South End
Del Frisco's Double Eagle Steakhouse,"250 Northern Ave, Ste 200",Boston,MA,3.5,1066,South Boston Waterfront
Dog 'n Claw,90 E India Row,Boston,MA,4.5,6,Downtown
Pressed,643 Tremont St,Boston,MA,3.5,14,South End
Mario's Restaurant,347 Chelsea St,Boston,MA,4.5,159,East Boston
Serafina Downtown,10 High St,Boston,MA,3.5,162,Downtown
Tatte Bakery & Cafe,70 Charles St,Boston,MA,4,449,Beacon Hill
Smith & Wollensky,294 Congress St,Boston,MA,3.5,390,Downtown
Maxine's On Saint James,304 Dudley St,Boston,MA,3.5,51,Roxbury
Subway,100 City Hall Plz,Boston,MA,2.5,8,Downtown
Xinh Xinh,7 Beach St,Boston,MA,4,586,Chinatown
Cuffs,350 Stuart St,Boston,MA,3,53,Back Bay
Tatte Bakery & Cafe,345 Harrison Ave,Boston,MA,4.5,25,South End
Kitty O'Shea's,131 State St,Boston,MA,2.5,82,Downtown
OTTO,416 W Broadway,Boston,MA,3.5,21,South Boston
Earl of Sandwich,"Terninal E, 1 Harborside Dr.",Boston,MA,3,16,East Boston
Bricco,241 Hanover St,Boston,MA,4,999,North End
The Mission Bar & Grill,724 Huntington Ave,Boston,MA,3.5,335,Mission Hill
Grainmaker,91 Summer St,Boston,MA,4,119,Downtown
Madina Market,72 Brighton Ave,Boston,MA,3.5,29,Allston
Aquitaine,569 Tremont St,Boston,MA,4,904,South End
Orá Trattorizza,653 Boylston St,Boston,MA,4,75,Back Bay
Sapóre Ristorante & Bar,606 Congress St,Boston,MA,3,46,South Boston Waterfront
Samurai Boston,827 Boylston St,Boston,MA,3.5,243,Back Bay
Limoo Tea Bar,1032 Commonwealth Ave,Boston,MA,4,150,NA
La Parrilla,299 Hancock St,Boston,MA,3.5,25,Dorchester
ZC Boston,801 Massachusetts Ave,Boston,MA,3.5,177,Roxbury
Jimmy John's,512 Park Dr,Boston,MA,3,32,Fenway
No. 9 Park,9 Park St,Boston,MA,4,668,Downtown
Jaho Coffee & Tea,1651 Washington St,Boston,MA,3.5,207,South End
Starbucks,1 South Station,Boston,MA,1.5,16,Downtown
Sleeper Street Cafe,51 Sleeper St,Boston,MA,3.5,26,South Boston Waterfront
Gogi On The Block,NA,Boston,MA,4.5,28,South End
Sarku Japan,417 Washington St,Boston,MA,3,22,Downtown
Chart House,60 Long Wharf,Boston,MA,3,686,Downtown
The Cafe Royale,254 Newbury St,Boston,MA,2,17,Back Bay
Windmill Food Factory,429 W Broadway,Boston,MA,3,20,South Boston
Andrew Square House of Pizza,395 Dorchester St,Boston,MA,4,59,South Boston
Teatro,177 Tremont St,Boston,MA,4,562,Downtown
Legal Sea Foods,"Prudential Ctr, 800 Boylston St",Boston,MA,3.5,374,Back Bay
Casa Caña,1234 Soldiers Field Rd,Boston,MA,3.5,81,Brighton
Home.Stead Bakery & Cafe,1448 Dorchester Ave,Boston,MA,4.5,119,Dorchester
Bourbon Street Cafe,350 Longwood Ave,Boston,MA,2.5,12,Longwood
Roost Bistro,259 Newbury St,Boston,MA,3.5,134,Back Bay
Barney Fanning's,99 Broad St,Boston,MA,4,75,Downtown
Worden Hall,22 W Broadway,Boston,MA,4,346,South Boston
UMass Club,"225 Franklin St, 33rd Fl",Boston,MA,4,9,Downtown
sweetgreen,"800 Boylston St, Ste 17",Boston,MA,4,103,Back Bay
Chinese Mirch,251 Massachusetts Ave,Boston,MA,2.5,67,Fenway
Brown Sugar Cafe,129 Jersey St,Boston,MA,4.5,136,Fenway
Shake Shack,234-236 Newbury St,Boston,MA,3.5,399,Back Bay
Kingfish Hall,"Faneuil Hall Marketplace, 188 S Market Blvd",Boston,MA,3,177,West End
Mei Mei Street Kitchen,NA,Boston,MA,4.5,190,Fenway
The Wrap,137 Massachusetts Ave,Boston,MA,3,9,Fenway
Golden Star Chinese Restaurant,1495 Dorchester Ave,Boston,MA,3,14,Dorchester
Sal's Pizza,51 Brookline Ave,Boston,MA,3,36,Fenway
Union Club,8 Park St,Boston,MA,4.5,6,Downtown
Sixth Gear - Cask & Kitchen,81 L St,Boston,MA,3.5,112,South Boston
Saté Grill-on-Wheels,One City Hall Plz,Boston,MA,3,33,Downtown
Squeeze Juice Company,131 Dartmouth St,Boston,MA,3,7,Back Bay
Carmen Trattoria,33 North Sq,Boston,MA,4,158,North End
Anna's Taqueria,242 Cambridge St,Boston,MA,3.5,384,Beacon Hill
Hopewell Bar & Kitchen,1277 Commonwealth Ave,Boston,MA,4,235,Allston
Tiger Mama,1363 Boylston St,Boston,MA,3.5,623,Fenway
Berkeley Cafe,200 Berkeley St,Boston,MA,3,5,Back Bay
Salty Dog Seafood Grille & Bar,206 S Market St,Boston,MA,3,342,Downtown
Bukowski Tavern,50 Dalton St,Boston,MA,3.5,695,Back Bay
GoGo Stop,Logan International Airport,Boston,MA,4.5,5,NA
